Objective,AvgSim_Nodes,BestLO_Nodes,Global_Nodes,AvgSim_Edges,BestLO_Edges,Global_Edges
78612,0.732359,0.769912,0.680672,0.259976,0.298701,0.265823
72573,0.79624,0.818182,0.785714,0.31926,0.333333,0.333333
72667,0.788224,0.801802,0.769912,0.322525,0.360544,0.333333
74542,0.770423,0.785714,0.709402,0.301469,0.315789,0.298701
73928,0.794189,0.801802,0.785714,0.29197,0.333333,0.369863
72013,0.783883,0.785714,0.834862,0.312765,0.324503,0.37931
73592,0.812646,0.801802,0.785714,0.308467,0.290323,0.298701
72444,0.793628,0.818182,0.769912,0.341361,0.369863,0.369863
73593,0.803389,0.769912,0.73913,0.300432,0.265823,0.290323
75238,0.789917,0.754386,0.709402,0.274732,0.242236,0.234568
77241,0.767959,0.724138,0.639344,0.287973,0.257862,0.226994
72419,0.785575,0.801802,0.769912,0.310101,0.342282,0.342282
74541,0.774316,0.801802,0.754386,0.304385,0.282051,0.324503
73772,0.822123,0.801802,0.754386,0.301759,0.282051,0.30719
74559,0.790572,0.769912,0.73913,0.292443,0.273885,0.265823
73807,0.789417,0.834862,0.754386,0.307338,0.30719,0.342282
73038,0.799278,0.834862,0.769912,0.312382,0.324503,0.351351
74714,0.79209,0.801802,0.724138,0.276783,0.30719,0.226994
74340,0.809527,0.769912,0.694915,0.331655,0.342282,0.273885
73670,0.796538,0.785714,0.785714,0.310742,0.30719,0.351351
72714,0.812561,0.801802,0.724138,0.335134,0.30719,0.360544
72382,0.784202,0.801802,0.769912,0.331017,0.342282,0.369863
73673,0.808166,0.834862,0.785714,0.285675,0.265823,0.30719
75243,0.798996,0.769912,0.73913,0.2908,0.273885,0.30719
73113,0.800824,0.801802,0.769912,0.303477,0.388889,0.342282
75086,0.782777,0.709402,0.694915,0.301937,0.242236,0.282051
75579,0.791523,0.785714,0.724138,0.295597,0.351351,0.324503
72881,0.803389,0.834862,0.754386,0.320977,0.369863,0.37931
75766,0.807723,0.769912,0.73913,0.27502,0.265823,0.257862
72889,0.781349,0.851852,0.785714,0.288572,0.333333,0.351351
73247,0.770013,0.801802,0.818182,0.275986,0.298701,0.290323
72491,0.778098,0.801802,0.801802,0.299559,0.315789,0.37931
73515,0.759335,0.834862,0.801802,0.27793,0.30719,0.30719
74586,0.804275,0.754386,0.724138,0.304837,0.30719,0.351351
73436,0.800615,0.785714,0.73913,0.312427,0.30719,0.315789
73547,0.789549,0.769912,0.754386,0.296711,0.234568,0.30719
72488,0.793853,0.851852,0.769912,0.322224,0.333333,0.342282
73417,0.800079,0.834862,0.769912,0.290583,0.324503,0.315789
73111,0.773916,0.818182,0.785714,0.313207,0.408451,0.360544
75112,0.787181,0.801802,0.724138,0.274278,0.273885,0.242236
74518,0.773577,0.785714,0.73913,0.276693,0.290323,0.290323
75211,0.806141,0.754386,0.694915,0.295148,0.298701,0.282051
74226,0.801801,0.769912,0.724138,0.315378,0.30719,0.30719
73651,0.806382,0.801802,0.769912,0.300993,0.265823,0.290323
74521,0.76182,0.709402,0.694915,0.299903,0.282051,0.324503
76211,0.735018,0.694915,0.680672,0.267566,0.25,0.25
73745,0.790442,0.769912,0.73913,0.28839,0.324503,0.398601
75402,0.780016,0.785714,0.724138,0.310163,0.428571,0.333333
74514,0.788461,0.801802,0.769912,0.285933,0.315789,0.342282
73861,0.786011,0.769912,0.754386,0.299753,0.342282,0.315789
74473,0.79867,0.801802,0.73913,0.322952,0.369863,0.342282
72810,0.786692,0.818182,0.801802,0.31455,0.342282,0.351351
74798,0.775793,0.785714,0.73913,0.304072,0.333333,0.351351
73677,0.779582,0.754386,0.769912,0.30196,0.315789,0.351351
75373,0.76916,0.724138,0.709402,0.310238,0.298701,0.342282
73523,0.798891,0.769912,0.769912,0.308597,0.298701,0.333333
72803,0.810643,0.851852,0.769912,0.317916,0.315789,0.315789
73574,0.798183,0.785714,0.801802,0.280648,0.282051,0.315789
73861,0.802833,0.785714,0.769912,0.32335,0.324503,0.360544
73408,0.80391,0.818182,0.754386,0.308457,0.315789,0.315789
77671,0.743308,0.709402,0.694915,0.281775,0.265823,0.290323
73673,0.787752,0.801802,0.754386,0.293043,0.298701,0.324503
75602,0.725239,0.666667,0.724138,0.290366,0.282051,0.290323
75036,0.758158,0.754386,0.73913,0.279924,0.290323,0.342282
73693,0.800194,0.818182,0.769912,0.306781,0.37931,0.388889
75615,0.779734,0.724138,0.680672,0.289125,0.257862,0.273885
74140,0.760243,0.818182,0.785714,0.260773,0.282051,0.30719
74976,0.773294,0.818182,0.73913,0.268035,0.388889,0.315789
74517,0.787307,0.769912,0.769912,0.281103,0.265823,0.351351
73911,0.794069,0.785714,0.724138,0.292448,0.25,0.282051
74958,0.799099,0.754386,0.709402,0.320871,0.282051,0.298701
76157,0.750281,0.709402,0.680672,0.289683,0.242236,0.25
73435,0.799281,0.785714,0.769912,0.294449,0.242236,0.282051
73310,0.773763,0.834862,0.754386,0.29517,0.298701,0.333333
73681,0.766367,0.886792,0.769912,0.271073,0.360544,0.282051
73415,0.792494,0.801802,0.73913,0.310892,0.265823,0.30719
72343,0.804113,0.834862,0.801802,0.308158,0.342282,0.369863
72948,0.77904,0.801802,0.769912,0.293241,0.37931,0.324503
74272,0.783809,0.73913,0.709402,0.309082,0.30719,0.25
75023,0.789626,0.785714,0.709402,0.29314,0.265823,0.315789
75898,0.778502,0.818182,0.73913,0.266902,0.226994,0.226994
72884,0.797189,0.818182,0.785714,0.306479,0.30719,0.388889
