Objective,AvgSim_Nodes,BestLO_Nodes,Global_Nodes,AvgSim_Edges,BestLO_Edges,Global_Edges
49816,0.694799,0.652893,0.639344,0.282712,0.298701,0.282051
49099,0.710172,0.724138,0.694915,0.253358,0.273885,0.273885
47998,0.663756,0.694915,0.652893,0.262166,0.298701,0.242236
49365,0.698617,0.680672,0.652893,0.257445,0.273885,0.257862
50417,0.688765,0.709402,0.652893,0.255422,0.30719,0.242236
49703,0.687773,0.666667,0.626016,0.283883,0.315789,0.257862
48984,0.725857,0.754386,0.680672,0.25256,0.324503,0.257862
48229,0.697678,0.73913,0.652893,0.293713,0.388889,0.290323
47746,0.713866,0.709402,0.652893,0.287964,0.342282,0.257862
48297,0.702386,0.724138,0.724138,0.273043,0.30719,0.333333
48638,0.724597,0.709402,0.652893,0.287081,0.257862,0.242236
48868,0.721172,0.709402,0.666667,0.281431,0.30719,0.265823
49124,0.71484,0.801802,0.680672,0.270069,0.333333,0.298701
48246,0.714246,0.801802,0.680672,0.27538,0.333333,0.257862
48244,0.720396,0.724138,0.666667,0.278041,0.351351,0.25
51613,0.674393,0.652893,0.5625,0.233223,0.219512,0.212121
49651,0.713241,0.724138,0.666667,0.269383,0.351351,0.273885
49025,0.714212,0.709402,0.652893,0.28587,0.315789,0.290323
49582,0.716773,0.680672,0.652893,0.277325,0.265823,0.219512
49754,0.71275,0.801802,0.652893,0.254452,0.351351,0.212121
48162,0.715281,0.73913,0.680672,0.288818,0.333333,0.257862
48469,0.693128,0.73913,0.652893,0.248256,0.298701,0.25
49763,0.73016,0.724138,0.666667,0.278213,0.324503,0.273885
47155,0.722128,0.769912,0.73913,0.285181,0.324503,0.298701
48239,0.714815,0.785714,0.652893,0.27817,0.333333,0.265823
49248,0.713815,0.724138,0.652893,0.276904,0.273885,0.25
49257,0.674728,0.73913,0.680672,0.234622,0.265823,0.273885
49821,0.683325,0.680672,0.694915,0.268107,0.25,0.298701
49343,0.727715,0.724138,0.652893,0.271934,0.273885,0.25
47460,0.723217,0.785714,0.694915,0.264294,0.438849,0.342282
49712,0.701353,0.73913,0.652893,0.242783,0.25,0.242236
48908,0.677378,0.652893,0.666667,0.265863,0.282051,0.315789
51516,0.68007,0.666667,0.612903,0.24281,0.242236,0.242236
48973,0.71516,0.709402,0.652893,0.280808,0.360544,0.242236
50875,0.697646,0.652893,0.639344,0.260931,0.257862,0.234568
51206,0.686787,0.680672,0.587302,0.275248,0.333333,0.234568
49486,0.68856,0.666667,0.6,0.261754,0.257862,0.242236
49108,0.708019,0.724138,0.652893,0.27799,0.324503,0.290323
49112,0.68116,0.680672,0.666667,0.266894,0.30719,0.298701
48276,0.711275,0.694915,0.639344,0.290938,0.315789,0.257862
48140,0.692446,0.680672,0.680672,0.273558,0.257862,0.282051
48857,0.723043,0.73913,0.680672,0.280665,0.333333,0.315789
48197,0.679372,0.73913,0.680672,0.256256,0.298701,0.290323
47605,0.721842,0.754386,0.652893,0.291868,0.37931,0.290323
48365,0.719738,0.769912,0.639344,0.269123,0.315789,0.242236
49135,0.712706,0.785714,0.652893,0.254774,0.324503,0.183432
50576,0.711417,0.754386,0.666667,0.262329,0.298701,0.25
47317,0.721405,0.724138,0.666667,0.269393,0.290323,0.265823
49617,0.708376,0.709402,0.666667,0.272284,0.333333,0.273885
49528,0.705354,0.709402,0.680672,0.276437,0.351351,0.282051
48010,0.735144,0.785714,0.709402,0.287933,0.408451,0.333333
52717,0.689607,0.680672,0.587302,0.254895,0.298701,0.197605
50196,0.699868,0.680672,0.587302,0.276294,0.273885,0.219512
51603,0.697602,0.652893,0.639344,0.256327,0.282051,0.242236
48047,0.741575,0.754386,0.709402,0.27065,0.282051,0.265823
50267,0.724605,0.769912,0.680672,0.260172,0.333333,0.25
48621,0.696042,0.73913,0.73913,0.28685,0.398601,0.351351
49080,0.722696,0.769912,0.694915,0.28201,0.290323,0.30719
47759,0.684801,0.73913,0.694915,0.27048,0.360544,0.290323
51363,0.651962,0.626016,0.574803,0.239324,0.234568,0.226994
49879,0.727936,0.694915,0.694915,0.257597,0.273885,0.25
